"","participant","predicate","predicate_number","context","context_number","response"
"1925",72,"be right",6,"15L",7,0.04
"1927",72,"confirm",4,"3L",9,0.22
"1929",72,"discover",14,"6H",5,1
"1930",72,"think",7,"5H",20,0.11
"1931",72,"see",19,"14H",22,1
"1932",72,"reveal",3,"13H",8,1
"1933",72,"inform",12,"20H",3,0.89
"1934",72,"suggest",17,"1L",37,0
"1935",72,"be annoyed",9,"11L",11,0.38
"1936",72,"confess",20,"18H",6,0.85
"1937",72,"acknowledge",5,"19L",4,0.07
"1940",72,"know",11,"9H",35,1
"1941",72,"pretend",15,"2L",10,0
"1942",72,"establish",1,"8L",23,0
"1943",72,"say",8,"10L",36,0.05
"1944",72,"announce",10,"4H",40,0.69
"1945",72,"demonstrate",18,"16L",31,0
"1947",72,"hear",16,"12L",28,0.06
"1948",72,"admit",13,"17H",21,1
"1949",72,"prove",2,"7H",24,0
"1951",73,"say",8,"6L",30,0.18
"1952",73,"hear",16,"5H",20,1
"1953",73,"inform",12,"1H",13,1
"1954",73,"prove",2,"13L",26,0.13
"1955",73,"establish",1,"3H",33,0
"1956",73,"pretend",15,"14L",14,0
"1957",73,"see",19,"20L",27,1
"1958",73,"confirm",4,"10L",36,0
"1960",73,"admit",13,"11L",11,0.85
"1961",73,"acknowledge",5,"9L",16,1
"1962",73,"announce",10,"7H",24,0.37
"1963",73,"discover",14,"2H",25,0.65
"1964",73,"confess",20,"16H",17,1
"1967",73,"know",11,"17H",21,1
"1970",73,"be annoyed",9,"4L",12,1
"1971",73,"suggest",17,"8H",1,0.41
"1973",73,"think",7,"12L",28,0.23
"1974",73,"be right",6,"15H",34,0.36
"1975",73,"demonstrate",18,"18L",32,0.39
"1976",73,"reveal",3,"19H",39,1
"1977",74,"suggest",17,"13L",26,0.08
"1978",74,"see",19,"12H",2,0.95
"1980",74,"demonstrate",18,"6L",30,0.21
"1981",74,"acknowledge",5,"11H",29,0.84
"1982",74,"prove",2,"8L",23,0.07
"1983",74,"inform",12,"17L",15,0.76
"1984",74,"think",7,"16L",31,0.33
"1985",74,"reveal",3,"2L",10,0.81
"1986",74,"confirm",4,"10H",18,0.89
"1988",74,"hear",16,"7L",19,0.8
"1990",74,"be right",6,"14H",22,0.5
"1991",74,"pretend",15,"5H",20,0.3
"1994",74,"know",11,"15H",34,0.79
"1995",74,"establish",1,"9L",16,0.75
"1997",74,"admit",13,"3L",9,0.44
"1998",74,"announce",10,"20H",3,0.76
"1999",74,"be annoyed",9,"1H",13,0.93
"2000",74,"discover",14,"18L",32,0.85
"2001",74,"confess",20,"4H",40,0.6
"2002",74,"say",8,"19H",39,0.23
"2003",75,"confess",20,"11L",11,0.19
"2004",75,"pretend",15,"18L",32,0.07
"2005",75,"announce",10,"19L",4,0.01
"2006",75,"reveal",3,"13L",26,0.26
"2007",75,"establish",1,"14L",14,0.19
"2008",75,"acknowledge",5,"2H",25,0.49
"2009",75,"inform",12,"17H",21,0.56
"2010",75,"admit",13,"9H",35,0.37
"2011",75,"think",7,"6L",30,0.05
"2012",75,"prove",2,"3L",9,0.12
"2016",75,"see",19,"7H",24,0.05
"2017",75,"hear",16,"4H",40,0.53
"2018",75,"suggest",17,"16H",17,0.56
"2019",75,"know",11,"8L",23,0.61
"2020",75,"be annoyed",9,"5H",20,0.62
"2021",75,"be right",6,"1L",37,0.18
"2022",75,"discover",14,"10H",18,0.13
"2024",75,"say",8,"12L",28,0.24
"2026",75,"demonstrate",18,"15H",34,0.24
"2027",75,"confirm",4,"20H",3,0.54
"2029",76,"see",19,"3L",9,0.28
"2031",76,"suggest",17,"9L",16,0.05
"2032",76,"be right",6,"7H",24,0.08
"2033",76,"think",7,"20H",3,0.83
"2034",76,"demonstrate",18,"17H",21,0.7
"2035",76,"admit",13,"12L",28,0.24
"2036",76,"reveal",3,"8H",1,0.2
"2037",76,"establish",1,"1H",13,0.76
"2038",76,"discover",14,"4L",12,0.12
"2040",76,"prove",2,"16H",17,0.17
"2041",76,"know",11,"2L",10,0.16
"2043",76,"pretend",15,"15L",7,0.07
"2044",76,"confirm",4,"19H",39,0.71
"2045",76,"confess",20,"10H",18,0.47
"2046",76,"say",8,"14H",22,0.36
"2047",76,"hear",16,"18L",32,0.31
"2049",76,"inform",12,"6L",30,0.2
"2051",76,"announce",10,"13H",8,0.66
"2052",76,"acknowledge",5,"5L",38,0.17
"2054",76,"be annoyed",9,"11L",11,0.35
"2056",77,"hear",16,"11H",29,0.25
"2058",77,"prove",2,"10H",18,0.12
"2059",77,"confess",20,"8H",1,0.06
"2060",77,"reveal",3,"17H",21,0.59
"2061",77,"think",7,"16L",31,0.02
"2063",77,"know",11,"9H",35,0.46
"2064",77,"admit",13,"18L",32,0.14
"2065",77,"pretend",15,"12L",28,0.02
"2066",77,"see",19,"7H",24,0.17
"2067",77,"suggest",17,"15L",7,0
"2068",77,"inform",12,"6L",30,0.56
"2069",77,"announce",10,"3L",9,0.01
"2070",77,"confirm",4,"20L",27,0
"2071",77,"say",8,"4L",12,0
"2072",77,"demonstrate",18,"5H",20,0
"2073",77,"establish",1,"19L",4,0
"2077",77,"be right",6,"14H",22,0.27
"2078",77,"discover",14,"2L",10,0.1
"2079",77,"be annoyed",9,"1H",13,0.91
"2080",77,"acknowledge",5,"13H",8,0.57
"2081",78,"confirm",4,"15H",34,0.13
"2083",78,"demonstrate",18,"5H",20,0.74
"2085",78,"see",19,"9L",16,1
"2086",78,"suggest",17,"18L",32,0.06
"2087",78,"announce",10,"10L",36,0.25
"2089",78,"say",8,"6H",5,0.07
"2091",78,"discover",14,"8H",1,0.89
"2093",78,"hear",16,"11H",29,0.8
"2094",78,"confess",20,"7H",24,0.24
"2095",78,"reveal",3,"14H",22,0.73
"2096",78,"prove",2,"20L",27,0
"2097",78,"be right",6,"2H",25,0
"2098",78,"be annoyed",9,"1H",13,1
"2099",78,"think",7,"16L",31,0
"2100",78,"know",11,"4L",12,0.96
"2101",78,"inform",12,"17L",15,0.93
"2103",78,"admit",13,"3H",33,0.74
"2104",78,"pretend",15,"13L",26,0
"2105",78,"establish",1,"12L",28,0
"2106",78,"acknowledge",5,"19L",4,0.76
"2107",79,"discover",14,"3L",9,0
"2110",79,"acknowledge",5,"4L",12,0
"2111",79,"confess",20,"6H",5,0
"2112",79,"demonstrate",18,"8H",1,0
"2114",79,"establish",1,"18L",32,0
"2115",79,"see",19,"16L",31,1
"2116",79,"think",7,"1L",37,0
"2117",79,"reveal",3,"14H",22,1
"2119",79,"be annoyed",9,"13H",8,1
"2120",79,"say",8,"5L",38,1
"2121",79,"inform",12,"12L",28,1
"2122",79,"know",11,"15H",34,1
"2123",79,"suggest",17,"20L",27,0
"2125",79,"be right",6,"10H",18,1
"2126",79,"hear",16,"2L",10,0
"2127",79,"prove",2,"11H",29,0.56
"2128",79,"announce",10,"7H",24,1
"2129",79,"admit",13,"9H",35,0
"2131",79,"confirm",4,"17L",15,1
"2132",79,"pretend",15,"19H",39,0
"2133",80,"be right",6,"9L",16,0.14
"2135",80,"admit",13,"3L",9,0.2
"2137",80,"discover",14,"19H",39,0.15
"2138",80,"confirm",4,"17H",21,0.33
"2139",80,"pretend",15,"2H",25,0.22
"2140",80,"be annoyed",9,"8H",1,0.11
"2141",80,"demonstrate",18,"12L",28,0.07
"2142",80,"acknowledge",5,"7H",24,0.31
"2143",80,"hear",16,"18L",32,0.32
"2145",80,"think",7,"4L",12,0.17
"2146",80,"see",19,"16H",17,0.67
"2147",80,"prove",2,"13L",26,0.41
"2148",80,"say",8,"10L",36,0.34
"2149",80,"reveal",3,"20L",27,0.71
"2150",80,"suggest",17,"11H",29,0.32
"2153",80,"inform",12,"15L",7,0.07
"2154",80,"announce",10,"5H",20,0.46
"2155",80,"establish",1,"6H",5,0.33
"2156",80,"confess",20,"14H",22,0.74
"2157",80,"know",11,"1L",37,0.56
"2159",81,"say",8,"13H",8,0.01
"2161",81,"demonstrate",18,"3H",33,0.01
"2162",81,"inform",12,"4L",12,0.07
"2163",81,"see",19,"15H",34,0.07
"2164",81,"think",7,"11H",29,0.06
"2168",81,"establish",1,"12H",2,0.04
"2169",81,"reveal",3,"5H",20,0.04
"2170",81,"be annoyed",9,"20L",27,0.03
"2171",81,"discover",14,"16L",31,0.01
"2172",81,"prove",2,"1L",37,0.04
"2173",81,"suggest",17,"9L",16,0.02
"2174",81,"confirm",4,"19L",4,0.05
"2175",81,"confess",20,"8H",1,0.01
"2176",81,"hear",16,"17H",21,0.02
"2177",81,"admit",13,"14H",22,0.02
"2179",81,"know",11,"6H",5,0
"2180",81,"acknowledge",5,"7L",19,0.02
"2181",81,"pretend",15,"18L",32,0.02
"2182",81,"announce",10,"10L",36,0.01
"2183",81,"be right",6,"2L",10,0.03
"2211",82,"discover",14,"8H",1,0.26
"2213",82,"establish",1,"7H",24,0.2
"2215",82,"say",8,"19L",4,0.3
"2216",82,"hear",16,"18H",6,0.69
"2217",82,"reveal",3,"10L",36,0.34
"2219",82,"admit",13,"16L",31,0.36
"2220",82,"be annoyed",9,"13H",8,0.72
"2221",82,"demonstrate",18,"12H",2,0.31
"2222",82,"prove",2,"6H",5,0.28
"2223",82,"know",11,"2L",10,0.69
"2224",82,"suggest",17,"9H",35,0.21
"2225",82,"acknowledge",5,"11L",11,0.3
"2227",82,"inform",12,"14H",22,0.66
"2228",82,"be right",6,"4H",40,0.22
"2229",82,"pretend",15,"17L",15,0.25
"2230",82,"see",19,"5L",38,0.8
"2231",82,"confess",20,"15L",7,0.3
"2232",82,"announce",10,"1H",13,0.67
"2233",82,"think",7,"20L",27,0.76
"2234",82,"confirm",4,"3L",9,0.36
"2237",83,"establish",1,"13L",26,0.1
"2241",83,"confirm",4,"5H",20,0.3
"2242",83,"prove",2,"1H",13,0.64
"2243",83,"know",11,"9H",35,0.26
"2244",83,"be annoyed",9,"7L",19,0.08
"2245",83,"be right",6,"20L",27,0.07
"2246",83,"confess",20,"6H",5,0.02
"2247",83,"say",8,"17L",15,0.04
"2248",83,"hear",16,"8L",23,0.09
"2249",83,"think",7,"10H",18,0.64
"2250",83,"inform",12,"19L",4,0.12
"2251",83,"demonstrate",18,"14H",22,0.72
"2252",83,"acknowledge",5,"2H",25,0.75
"2253",83,"pretend",15,"16L",31,0.05
"2254",83,"suggest",17,"12H",2,0.6
"2255",83,"announce",10,"18H",6,0.17
"2257",83,"see",19,"11L",11,0.3
"2258",83,"reveal",3,"15H",34,0.61
"2259",83,"discover",14,"3L",9,0.06
"2261",83,"admit",13,"4L",12,0.01
"2263",84,"announce",10,"19H",39,0.11
"2264",84,"say",8,"18H",6,0.19
"2265",84,"demonstrate",18,"9L",16,0.36
"2266",84,"pretend",15,"16L",31,0.55
"2268",84,"see",19,"13H",8,0.2
"2269",84,"discover",14,"6L",30,0.27
"2270",84,"establish",1,"7L",19,0.47
"2271",84,"confirm",4,"1H",13,0.72
"2273",84,"admit",13,"20H",3,0.59
"2274",84,"inform",12,"10L",36,0.28
"2275",84,"hear",16,"11L",11,0.44
"2276",84,"suggest",17,"14L",14,0.32
"2279",84,"know",11,"12H",2,0.28
"2280",84,"think",7,"4H",40,0.28
"2282",84,"be right",6,"8L",23,0.51
"2283",84,"prove",2,"3H",33,0.29
"2284",84,"confess",20,"2H",25,0.34
"2285",84,"be annoyed",9,"15H",34,0.47
"2286",84,"reveal",3,"17L",15,0.19
"2288",84,"acknowledge",5,"5L",38,0.41
"2289",85,"pretend",15,"4L",12,0.01
"2290",85,"see",19,"14H",22,0.99
"2291",85,"inform",12,"18L",32,0.99
"2292",85,"reveal",3,"13H",8,0.5
"2293",85,"confirm",4,"16H",17,0.01
"2296",85,"think",7,"2H",25,0.02
"2297",85,"know",11,"7L",19,0.01
"2298",85,"announce",10,"20L",27,0.02
"2299",85,"be annoyed",9,"12H",2,1
"2300",85,"confess",20,"1L",37,0.01
"2301",85,"demonstrate",18,"19L",4,0.01
"2302",85,"establish",1,"15L",7,0
"2303",85,"say",8,"10H",18,0.5
"2304",85,"suggest",17,"6L",30,0.01
"2306",85,"be right",6,"3H",33,0
"2307",85,"acknowledge",5,"9L",16,0
"2308",85,"hear",16,"8H",1,0.5
"2310",85,"discover",14,"17H",21,0.79
"2311",85,"prove",2,"5L",38,0
"2312",85,"admit",13,"11H",29,0.79
"2315",86,"establish",1,"2H",25,0.04
"2316",86,"inform",12,"10L",36,0
"2317",86,"be right",6,"20H",3,0.77
"2318",86,"reveal",3,"1L",37,0
"2319",86,"say",8,"14H",22,0.22
"2320",86,"suggest",17,"7H",24,0.04
"2321",86,"discover",14,"3L",9,0.36
"2322",86,"announce",10,"11L",11,0.16
"2326",86,"know",11,"15L",7,0.5
"2327",86,"see",19,"4H",40,0.55
"2328",86,"hear",16,"5L",38,0.3
"2329",86,"pretend",15,"16H",17,0.29
"2330",86,"admit",13,"12H",2,0.64
"2332",86,"think",7,"17H",21,0.82
"2333",86,"confirm",4,"19H",39,0.77
"2334",86,"be annoyed",9,"9L",16,0.77
"2337",86,"acknowledge",5,"6H",5,0.17
"2338",86,"prove",2,"8L",23,0.04
"2339",86,"confess",20,"13L",26,0
"2340",86,"demonstrate",18,"18L",32,0.78
"2342",87,"confirm",4,"11L",11,0.01
"2343",87,"demonstrate",18,"16L",31,0
"2344",87,"admit",13,"6L",30,0.01
"2347",87,"know",11,"14L",14,1
"2348",87,"see",19,"13L",26,0.98
"2349",87,"pretend",15,"7H",24,0.5
"2350",87,"confess",20,"8H",1,0.98
"2351",87,"hear",16,"4L",12,0.99
"2352",87,"discover",14,"3H",33,0.98
"2353",87,"acknowledge",5,"18L",32,0.97
"2354",87,"say",8,"12H",2,0.25
"2355",87,"reveal",3,"10H",18,1
"2356",87,"suggest",17,"17H",21,0.5
"2357",87,"inform",12,"9L",16,1
"2358",87,"be annoyed",9,"19L",4,1
"2359",87,"think",7,"5H",20,0.76
"2361",87,"announce",10,"20H",3,0.98
"2363",87,"prove",2,"2L",10,0.22
"2365",87,"establish",1,"15H",34,0.76
"2366",87,"be right",6,"1H",13,0.12
"2368",88,"demonstrate",18,"20H",3,0.5
"2369",88,"reveal",3,"3H",33,0.9
"2370",88,"inform",12,"5H",20,0.95
"2371",88,"hear",16,"16L",31,0.96
"2372",88,"think",7,"9L",16,0.04
"2374",88,"acknowledge",5,"2L",10,0.94
"2375",88,"be right",6,"18H",6,0.03
"2376",88,"say",8,"4L",12,0.12
"2377",88,"announce",10,"8H",1,0.51
"2378",88,"know",11,"6L",30,0.95
"2379",88,"admit",13,"12H",2,0.9
"2380",88,"suggest",17,"7L",19,0.06
"2381",88,"be annoyed",9,"11L",11,0.89
"2383",88,"pretend",15,"10H",18,0.05
"2384",88,"confirm",4,"1H",13,0.84
"2385",88,"see",19,"17L",15,0.5
"2387",88,"confess",20,"19H",39,0.95
"2388",88,"prove",2,"15L",7,0.06
"2389",88,"discover",14,"13H",8,0.91
"2391",88,"establish",1,"14L",14,0.52
"2393",89,"admit",13,"11H",29,0.64
"2394",89,"think",7,"20H",3,0.65
"2395",89,"prove",2,"14H",22,0.32
"2396",89,"see",19,"6L",30,0.1
"2397",89,"suggest",17,"16H",17,0.39
"2399",89,"reveal",3,"5L",38,0.31
"2400",89,"hear",16,"1H",13,0.71
"2401",89,"demonstrate",18,"7H",24,0.23
"2402",89,"confess",20,"8L",23,0.48
"2403",89,"be right",6,"3L",9,0.37
"2405",89,"know",11,"18L",32,0.44
"2406",89,"announce",10,"4H",40,0.46
"2407",89,"acknowledge",5,"10L",36,0.06
"2408",89,"be annoyed",9,"15L",7,0.9
"2409",89,"confirm",4,"19H",39,0.36
"2410",89,"establish",1,"9H",35,0.5
"2412",89,"inform",12,"12L",28,0.79
"2413",89,"discover",14,"2L",10,0.04
"2416",89,"pretend",15,"13L",26,0.13
"2418",89,"say",8,"17H",21,0.39
"2445",90,"be right",6,"9H",35,0.78
"2446",90,"suggest",17,"20H",3,0.17
"2447",90,"demonstrate",18,"4L",12,0.03
"2448",90,"pretend",15,"3L",9,0.04
"2449",90,"establish",1,"11L",11,0.87
"2450",90,"admit",13,"1L",37,0
"2451",90,"confirm",4,"13H",8,0.6
"2452",90,"announce",10,"6L",30,0.51
"2453",90,"reveal",3,"5H",20,0.84
"2456",90,"discover",14,"2H",25,0.96
"2457",90,"know",11,"15L",7,0.88
"2458",90,"inform",12,"18H",6,0.26
"2460",90,"prove",2,"8H",1,0.95
"2462",90,"see",19,"16L",31,0.93
"2464",90,"hear",16,"19H",39,0.95
"2466",90,"acknowledge",5,"14L",14,0.65
"2467",90,"say",8,"12H",2,0.1
"2468",90,"confess",20,"17H",21,0.14
"2469",90,"think",7,"7L",19,0.07
"2470",90,"be annoyed",9,"10L",36,0.92
"2471",91,"discover",14,"12L",28,0.17
"2472",91,"announce",10,"10L",36,0.02
"2473",91,"reveal",3,"19H",39,0.77
"2475",91,"confirm",4,"2L",10,0.01
"2476",91,"be annoyed",9,"15L",7,0.83
"2477",91,"inform",12,"16H",17,0.71
"2479",91,"establish",1,"14H",22,0.08
"2480",91,"pretend",15,"8H",1,0.12
"2481",91,"see",19,"13H",8,0.8
"2483",91,"confess",20,"7L",19,0.25
"2484",91,"know",11,"4H",40,0.86
"2486",91,"acknowledge",5,"17L",15,0.01
"2487",91,"think",7,"1L",37,0.04
"2488",91,"be right",6,"5L",38,0.13
"2489",91,"hear",16,"9H",35,0.68
"2490",91,"suggest",17,"18H",6,0.69
"2491",91,"say",8,"11L",11,0.5
"2494",91,"admit",13,"20H",3,0.44
"2495",91,"demonstrate",18,"3H",33,0.01
"2496",91,"prove",2,"6L",30,0.02
"2497",92,"admit",13,"12H",2,0.71
"2498",92,"hear",16,"15L",7,0.27
"2499",92,"reveal",3,"11H",29,0.87
"2500",92,"know",11,"8H",1,0.78
"2502",92,"confirm",4,"1L",37,0.39
"2503",92,"be annoyed",9,"20H",3,0.9
"2504",92,"inform",12,"9H",35,0.89
"2505",92,"say",8,"16L",31,0.07
"2506",92,"pretend",15,"7L",19,0.01
"2507",92,"think",7,"14L",14,0.02
"2508",92,"confess",20,"6H",5,0.78
"2509",92,"demonstrate",18,"2L",10,0.02
"2511",92,"be right",6,"13L",26,0.01
"2512",92,"establish",1,"18H",6,0.57
"2514",92,"announce",10,"19L",4,0.02
"2517",92,"suggest",17,"17H",21,0.99
"2519",92,"prove",2,"4L",12,0.02
"2520",92,"acknowledge",5,"5H",20,0.77
"2521",92,"see",19,"3H",33,0.71
"2522",92,"discover",14,"10L",36,0
"2524",93,"think",7,"3L",9,0.03
"2526",93,"know",11,"8L",23,0.03
"2527",93,"suggest",17,"1H",13,0.95
"2528",93,"hear",16,"19L",4,0.04
"2531",93,"demonstrate",18,"7L",19,0.03
"2532",93,"acknowledge",5,"5H",20,0.07
"2533",93,"pretend",15,"12H",2,0.07
"2534",93,"confess",20,"9L",16,0.07
"2535",93,"be right",6,"6H",5,0.02
"2536",93,"establish",1,"4L",12,0.02
"2537",93,"announce",10,"11H",29,0.57
"2538",93,"say",8,"14H",22,0.56
"2540",93,"confirm",4,"2L",10,0.03
"2541",93,"discover",14,"13L",26,0.05
"2542",93,"inform",12,"16H",17,0.62
"2543",93,"reveal",3,"10H",18,0.6
"2544",93,"see",19,"18H",6,0.6
"2545",93,"prove",2,"20L",27,0.05
"2547",93,"admit",13,"15L",7,0.05
"2548",93,"be annoyed",9,"17H",21,0.18
"2550",94,"inform",12,"19L",4,0.98
"2552",94,"think",7,"15L",7,0
"2553",94,"pretend",15,"3H",33,0
"2554",94,"confirm",4,"18L",32,0.49
"2555",94,"demonstrate",18,"1H",13,1
"2556",94,"hear",16,"2L",10,1
"2558",94,"know",11,"17L",15,1
"2559",94,"say",8,"10H",18,0.48
"2560",94,"be annoyed",9,"14H",22,1
"2561",94,"confess",20,"4H",40,0.98
"2562",94,"see",19,"16L",31,1
"2565",94,"acknowledge",5,"8H",1,1
"2567",94,"establish",1,"5L",38,1
"2568",94,"admit",13,"9L",16,1
"2569",94,"be right",6,"13H",8,0.49
"2570",94,"reveal",3,"7H",24,1
"2571",94,"announce",10,"20H",3,1
"2572",94,"prove",2,"12L",28,0.46
"2573",94,"suggest",17,"11H",29,0.52
"2574",94,"discover",14,"6L",30,0.99
"2575",95,"be annoyed",9,"11H",29,1
"2576",95,"inform",12,"7L",19,0.19
"2577",95,"discover",14,"1L",37,0.24
"2579",95,"demonstrate",18,"2H",25,0.51
"2580",95,"confirm",4,"6H",5,0.3
"2581",95,"pretend",15,"5L",38,0
"2584",95,"say",8,"3L",9,0.13
"2585",95,"see",19,"13H",8,0.92
"2586",95,"confess",20,"15H",34,1
"2588",95,"be right",6,"16H",17,0.38
"2589",95,"suggest",17,"12H",2,0.2
"2591",95,"acknowledge",5,"20L",27,0.74
"2592",95,"establish",1,"9H",35,0.55
"2593",95,"prove",2,"4L",12,0.06
"2595",95,"announce",10,"18L",32,0
"2596",95,"admit",13,"19L",4,0.89
"2597",95,"know",11,"8H",1,1
"2598",95,"think",7,"10L",36,0
"2599",95,"hear",16,"14L",14,0.28
"2600",95,"reveal",3,"17H",21,0.82
"2601",96,"demonstrate",18,"6H",5,0.03
"2603",96,"acknowledge",5,"12H",2,0.05
"2604",96,"pretend",15,"14H",22,0.18
"2605",96,"be right",6,"13H",8,0.13
"2607",96,"admit",13,"18L",32,0.02
"2608",96,"prove",2,"2H",25,0.13
"2609",96,"be annoyed",9,"3H",33,0.48
"2610",96,"see",19,"20L",27,0.51
"2611",96,"hear",16,"17L",15,0.19
"2612",96,"know",11,"5L",38,0.39
"2613",96,"confess",20,"15H",34,0.12
"2614",96,"establish",1,"1L",37,0.07
"2615",96,"inform",12,"7H",24,0.51
"2617",96,"announce",10,"9L",16,0.12
"2618",96,"say",8,"19L",4,0.11
"2620",96,"confirm",4,"8L",23,0.04
"2622",96,"suggest",17,"4L",12,0.04
"2624",96,"think",7,"10H",18,0.26
"2625",96,"discover",14,"11H",29,0.48
"2626",96,"reveal",3,"16L",31,0.24
"2679",97,"know",11,"12H",2,0.86
"2681",97,"demonstrate",18,"19H",39,0.18
"2682",97,"inform",12,"17L",15,0.86
"2683",97,"announce",10,"2H",25,0.91
"2684",97,"establish",1,"13H",8,0.63
"2688",97,"acknowledge",5,"7L",19,0.45
"2689",97,"admit",13,"10L",36,0.39
"2690",97,"think",7,"8L",23,0.27
"2691",97,"see",19,"5L",38,0.62
"2692",97,"prove",2,"6H",5,0.27
"2693",97,"confirm",4,"20H",3,0.77
"2694",97,"say",8,"18L",32,0.13
"2695",97,"reveal",3,"1L",37,0.23
"2696",97,"confess",20,"14L",14,0.23
"2697",97,"pretend",15,"9H",35,0.29
"2698",97,"be annoyed",9,"3L",9,0.64
"2699",97,"hear",16,"15L",7,0.67
"2701",97,"be right",6,"4H",40,0.31
"2703",97,"suggest",17,"16H",17,0.16
"2704",97,"discover",14,"11H",29,0.16
"2706",98,"suggest",17,"18H",6,0.23
"2707",98,"establish",1,"7L",19,0.06
"2709",98,"say",8,"20L",27,0
"2710",98,"hear",16,"16H",17,0.09
"2711",98,"announce",10,"14H",22,0.09
"2712",98,"reveal",3,"11L",11,0.11
"2713",98,"discover",14,"10L",36,0.06
"2715",98,"be annoyed",9,"17L",15,0.09
"2716",98,"pretend",15,"5H",20,0.08
"2717",98,"think",7,"8H",1,0.06
"2719",98,"confirm",4,"15L",7,0.05
"2720",98,"confess",20,"2L",10,0.11
"2721",98,"see",19,"9H",35,0.07
"2722",98,"acknowledge",5,"4H",40,0.06
"2723",98,"prove",2,"6L",30,0.07
"2724",98,"know",11,"1H",13,0.25
"2726",98,"inform",12,"3L",9,0.09
"2727",98,"demonstrate",18,"19L",4,0.07
"2728",98,"admit",13,"13H",8,0.09
"2729",98,"be right",6,"12H",2,0.07
"2732",99,"acknowledge",5,"9H",35,0.2
"2733",99,"confess",20,"15H",34,0.5
"2734",99,"establish",1,"6H",5,0.1
"2737",99,"say",8,"18L",32,0.09
"2738",99,"see",19,"8H",1,0.46
"2739",99,"inform",12,"17H",21,0.5
"2740",99,"discover",14,"7L",19,0.16
"2741",99,"prove",2,"16L",31,0.22
"2742",99,"demonstrate",18,"13H",8,0.62
"2743",99,"know",11,"3L",9,0.26
"2744",99,"hear",16,"11L",11,0.21
"2745",99,"be right",6,"14L",14,0.12
"2747",99,"be annoyed",9,"5L",38,0.19
"2748",99,"confirm",4,"2H",25,0.5
"2749",99,"pretend",15,"10L",36,0.14
"2750",99,"think",7,"20H",3,0.59
"2753",99,"announce",10,"19H",39,0.42
"2754",99,"reveal",3,"1H",13,0.59
"2755",99,"admit",13,"4L",12,0.13
"2756",99,"suggest",17,"12L",28,0.09
"2783",100,"think",7,"10L",36,0.09
"2785",100,"say",8,"12L",28,0.11
"2786",100,"be right",6,"18H",6,0.16
"2788",100,"establish",1,"8H",1,0.15
"2789",100,"reveal",3,"9L",16,0.1
"2790",100,"be annoyed",9,"3L",9,0.8
"2791",100,"know",11,"19H",39,0.51
"2792",100,"prove",2,"1H",13,0.51
"2794",100,"discover",14,"11H",29,0.18
"2795",100,"confess",20,"20H",3,0.8
"2796",100,"see",19,"16H",17,0.2
"2797",100,"hear",16,"6L",30,0.19
"2799",100,"demonstrate",18,"13L",26,0.15
"2800",100,"acknowledge",5,"14H",22,0.5
"2801",100,"announce",10,"17H",21,0.59
"2802",100,"admit",13,"15L",7,0.14
"2805",100,"inform",12,"5H",20,0.19
"2806",100,"suggest",17,"2L",10,0.17
"2807",100,"pretend",15,"4L",12,0.16
"2808",100,"confirm",4,"7L",19,0.14
"2809",101,"demonstrate",18,"5H",20,0
"2810",101,"inform",12,"19L",4,0.03
"2812",101,"reveal",3,"8L",23,0
"2815",101,"confess",20,"20L",27,0.03
"2817",101,"establish",1,"10L",36,0
"2818",101,"confirm",4,"17L",15,0.03
"2819",101,"acknowledge",5,"15L",7,0
"2820",101,"know",11,"6H",5,0.54
"2821",101,"announce",10,"11H",29,0.01
"2822",101,"think",7,"3L",9,0.04
"2823",101,"be annoyed",9,"2H",25,0.54
"2824",101,"see",19,"18H",6,0.52
"2825",101,"discover",14,"9H",35,0.55
"2827",101,"admit",13,"13H",8,0
"2828",101,"be right",6,"1L",37,0.01
"2829",101,"pretend",15,"7H",24,0.49
"2830",101,"prove",2,"12H",2,0.01
"2831",101,"say",8,"16H",17,0.02
"2833",101,"suggest",17,"4L",12,0.03
"2834",101,"hear",16,"14L",14,0
"2835",102,"confess",20,"8H",1,0.19
"2836",102,"demonstrate",18,"16L",31,0.27
"2840",102,"be annoyed",9,"1H",13,0.9
"2841",102,"acknowledge",5,"14H",22,0.42
"2843",102,"establish",1,"13L",26,0.41
"2844",102,"think",7,"11L",11,0.56
"2845",102,"reveal",3,"7L",19,0.68
"2846",102,"prove",2,"5H",20,0.74
"2847",102,"be right",6,"4L",12,0.62
"2849",102,"say",8,"18L",32,0.23
"2850",102,"see",19,"2L",10,0.86
"2851",102,"suggest",17,"6H",5,0.36
"2852",102,"confirm",4,"17H",21,0.64
"2853",102,"announce",10,"19L",4,0.34
"2854",102,"admit",13,"3H",33,0.8
"2855",102,"know",11,"20H",3,0.95
"2856",102,"hear",16,"15L",7,0.87
"2857",102,"pretend",15,"10H",18,0.77
"2858",102,"discover",14,"12H",2,0.65
"2860",102,"inform",12,"9L",16,0.73
"2862",103,"announce",10,"16L",31,0.11
"2863",103,"demonstrate",18,"14H",22,0.36
"2864",103,"acknowledge",5,"5H",20,0.67
"2865",103,"hear",16,"10L",36,0.11
"2867",103,"confirm",4,"18L",32,0.29
"2868",103,"pretend",15,"13H",8,0.5
"2869",103,"establish",1,"6L",30,0.11
"2871",103,"suggest",17,"4L",12,0.09
"2873",103,"confess",20,"3H",33,0.43
"2874",103,"see",19,"9L",16,0.65
